id_transacao;id_cliente;data_hora_transacao;operacao;canal;valor
1;365953751;20/10/2019 14:14;doc;caixa_elet;68741.98
2;879057428;09/05/2020 01:16;emprestimo;desktop;271225.70
3;969858430;25/08/2019 18:01;doc;desktop;49805.11
4;947231424;08/04/2020 06:51;doc;agencia;204417.24
5;32754029;13/09/2019 07:30;doc;desktop;113648.26
6;190389459;21/11/2019 18:50;fin_imob;caixa_elet;249326.11
7;857114883;15/11/2019 00:30;ted;mobile;138993.25
8;800675290;28/11/2019 00:27;emprestimo;caixa_elet;23439.49
9;473929688;10/02/2020 02:56;ted;agencia;65828.13
10;390826295;26/04/2020 15:31;pgto_boleto;mobile;124195.73
11;714242744;31/12/2019 23:53;fin_veic;agencia;135648.59
12;258377997;05/08/2019 20:03;pgto_boleto;agencia;226773.70
13;279679208;29/03/2020 18:27;fin_veic;desktop;143162.50
14;548264867;05/05/2020 13:57;pgto_boleto;desktop;180370.68
15;285948294;02/12/2019 16:42;emprestimo;caixa_elet;265824.19
16;570954958;09/08/2019 17:19;fin_veic;caixa_elet;52476.04
17;838659014;17/11/2019 05:43;emprestimo;caixa_elet;84553.02
18;318467950;27/12/2019 12:24;fin_imob;caixa_elet;280623.44
19;755787056;23/07/2019 00:37;doc;caixa_elet;249726.69
20;945287347;25/03/2020 08:15;doc;mobile;80713.73
21;748640494;05/12/2019 04:47;fin_imob;mobile;226886.56
22;601855781;28/02/2020 00:52;ted;caixa_elet;239221.96
23;8111479;02/08/2019 12:29;doc;caixa_elet;146856.31
24;427335879;12/12/2019 00:37;fin_imob;agencia;136716.47
25;602591136;08/12/2019 05:15;pgto_boleto;caixa_elet;229660.49
26;170387027;07/08/2019 02:22;doc;agencia;128602.29
27;151859032;07/10/2019 10:58;doc;mobile;133230.57
28;76902236;10/02/2020 19:58;emprestimo;mobile;285392.86
29;50235048;21/02/2020 15:50;fin_imob;caixa_elet;286244.27
30;215303821;04/04/2020 16:33;pgto_boleto;mobile;153373.40
31;231597447;05/06/2020 05:12;emprestimo;mobile;150515.36
32;256683256;08/05/2020 18:04;emprestimo;mobile;211198.39
33;603203003;15/09/2019 20:20;pgto_boleto;desktop;119740.76
34;285445744;02/06/2020 02:32;fin_veic;mobile;39459.19
35;799894906;01/11/2019 21:28;pgto_boleto;mobile;2653.22
36;455457694;04/09/2019 09:20;pgto_boleto;agencia;238768.49
37;103795385;15/01/2020 19:57;fin_imob;caixa_elet;30195.37
38;207076328;31/01/2020 21:30;pgto_boleto;agencia;42946.71
39;596468589;04/07/2020 11:08;emprestimo;desktop;194617.49
40;381255597;19/12/2019 19:33;doc;desktop;264929.57
41;202668634;21/01/2020 03:00;doc;agencia;135316.81
42;355221655;01/10/2019 00:41;fin_imob;caixa_elet;164841.94
43;655528794;03/02/2020 19:44;ted;caixa_elet;228888.51
44;714665815;03/07/2020 12:13;emprestimo;mobile;23900.10
45;992912255;04/11/2019 14:01;doc;mobile;145187.21
46;107425100;25/04/2020 14:14;fin_veic;agencia;140404.51
47;162846103;08/03/2020 02:00;pgto_boleto;caixa_elet;125761.36
48;679340987;19/10/2019 02:31;doc;caixa_elet;245503.56
49;258968386;19/03/2020 23:51;ted;desktop;259084.45
50;424340478;25/05/2020 18:00;pgto_boleto;agencia;38233.21
51;339909544;08/07/2020 07:57;fin_veic;desktop;218215.52
52;910802828;08/09/2019 12:23;ted;caixa_elet;2311.80
53;577759366;06/03/2020 02:06;emprestimo;mobile;114846.36
54;33118615;24/04/2020 14:41;fin_veic;agencia;100445.61
55;598609390;23/06/2020 05:05;fin_imob;agencia;282625.47
56;356445086;23/01/2020 06:29;pgto_boleto;agencia;70268.78
57;207594904;22/07/2019 02:43;doc;mobile;8099.70
58;572801946;27/11/2019 00:26;fin_imob;desktop;224215.33
59;112796078;29/02/2020 10:03;pgto_boleto;desktop;44959.05
60;158465019;22/01/2020 23:27;fin_imob;desktop;171722.88
61;704932700;24/01/2020 17:54;doc;desktop;193828.40
62;634142658;22/09/2019 20:14;ted;desktop;64483.16
63;861036120;01/01/2020 23:34;fin_veic;mobile;126310.76
64;314074676;25/12/2019 01:30;fin_veic;agencia;163144.32
65;97191844;13/08/2019 20:14;ted;desktop;144525.44
66;978458521;25/07/2019 18:56;fin_veic;agencia;250173.17
67;414939784;19/07/2019 13:19;ted;caixa_elet;158109.27
68;32110978;23/10/2019 10:47;doc;agencia;271182.28
69;606133625;11/05/2020 13:01;doc;agencia;261877.93
70;690274714;03/07/2020 03:30;fin_imob;agencia;162169.12
71;371147621;22/09/2019 17:50;ted;mobile;295148.68
72;928813771;29/04/2020 02:27;ted;mobile;98044.16
73;2853702;04/03/2020 08:56;pgto_boleto;mobile;151342.74
74;885872207;23/11/2019 20:47;doc;mobile;74015.62
75;789497587;25/04/2020 06:53;doc;desktop;3253.85
76;850014075;10/12/2019 01:54;ted;caixa_elet;188276.79
77;20736070;16/02/2020 16:55;pgto_boleto;mobile;290205.18
78;524338095;19/05/2020 13:07;fin_veic;caixa_elet;280218.42
79;905953586;15/10/2019 17:15;fin_imob;desktop;50199.68
80;969606825;25/02/2020 03:47;pgto_boleto;desktop;1016.91
81;113479078;29/05/2020 21:18;pgto_boleto;desktop;239239.15
82;187765614;10/08/2019 11:44;emprestimo;desktop;28080.77
83;279531053;22/04/2020 14:04;emprestimo;desktop;103125.82
84;441538164;12/02/2020 08:16;pgto_boleto;desktop;134172.23
85;819366229;05/05/2020 08:57;fin_imob;agencia;142511.10
86;461886885;12/02/2020 19:45;fin_imob;caixa_elet;72139.63
87;886895583;26/04/2020 05:17;fin_veic;caixa_elet;68133.13
88;53621117;23/11/2019 20:01;doc;caixa_elet;94507.02
89;131971389;20/07/2019 13:13;fin_imob;desktop;24866.16
90;311399232;03/09/2019 18:25;ted;mobile;134168.14
91;693644141;03/01/2020 16:59;ted;agencia;180900.34
92;417518836;16/03/2020 22:56;fin_imob;agencia;166108.82
93;18342109;28/10/2019 14:54;ted;mobile;283894.16
94;286997525;26/02/2020 02:14;pgto_boleto;agencia;288258.57
95;669094724;16/12/2019 22:30;doc;mobile;110842.98
96;247614005;26/01/2020 01:13;doc;caixa_elet;99082.96
97;47084722;27/02/2020 18:47;doc;caixa_elet;112133.33
98;142898578;27/09/2019 10:07;ted;mobile;185732.45
99;342835060;08/07/2020 15:56;pgto_boleto;caixa_elet;177718.20
100;958520918;13/07/2019 16:53;pgto_boleto;mobile;29708.93
